prediction,pass_probability,fail_probability,risk_level,predicted_outcome,feature_min_score,feature_code_module_encoded,feature_avg_score,feature_is_unregistered,feature_num_assessments,actual_outcome,actual_outcome_label,correct_prediction,recommendation
1,0.5006814533937859,0.4993185466062141,Medium,Pass,31.0,3,55.92857142857143,0,14.0,1,Pass,1,"PRIORITY: Offer additional support, weekly check-ins"
1,0.5017530013894043,0.4982469986105957,Medium,Pass,0.0,3,52.36363636363637,0,11.0,1,Pass,1,"PRIORITY: Offer additional support, weekly check-ins"
1,0.5036501903473823,0.4963498096526176,Medium,Pass,22.0,3,49.0,0,7.0,1,Pass,1,"PRIORITY: Offer additional support, weekly check-ins"
1,0.5037272289801632,0.4962727710198368,Medium,Pass,0.0,1,51.42857142857143,0,7.0,0,Fail,0,"PRIORITY: Offer additional support, weekly check-ins"
1,0.5047012763487675,0.4952987236512325,Medium,Pass,48.0,3,67.85714285714286,0,7.0,1,Pass,1,"PRIORITY: Offer additional support, weekly check-ins"
1,0.507071473595785,0.492928526404215,Medium,Pass,67.0,3,75.5,0,4.0,0,Fail,0,"PRIORITY: Offer additional support, weekly check-ins"
1,0.5080190441866766,0.4919809558133233,Medium,Pass,79.0,4,89.33333333333333,0,3.0,1,Pass,1,"PRIORITY: Offer additional support, weekly check-ins"
1,0.5081791405447414,0.4918208594552585,Medium,Pass,32.0,2,56.0,0,8.0,0,Fail,0,"PRIORITY: Offer additional support, weekly check-ins"
1,0.509404761426883,0.490595238573117,Medium,Pass,21.0,3,51.0,0,7.0,1,Pass,1,"PRIORITY: Offer additional support, weekly check-ins"
1,0.5096817787382154,0.4903182212617846,Medium,Pass,58.0,5,77.9090909090909,0,11.0,1,Pass,1,"PRIORITY: Offer additional support, weekly check-ins"
1,0.50992321935968,0.49007678064032,Medium,Pass,27.0,2,58.125,0,8.0,1,Pass,1,"PRIORITY: Offer additional support, weekly check-ins"
1,0.5106815977940012,0.4893184022059987,Medium,Pass,37.0,0,49.5,0,4.0,0,Fail,0,"PRIORITY: Offer additional support, weekly check-ins"
1,0.511064887772027,0.488935112227973,Medium,Pass,48.0,0,58.0,0,4.0,1,Pass,1,"PRIORITY: Offer additional support, weekly check-ins"
1,0.5113864428265197,0.4886135571734803,Medium,Pass,22.0,3,51.71428571428572,0,7.0,1,Pass,1,"PRIORITY: Offer additional support, weekly check-ins"
1,0.5119621729423802,0.4880378270576198,Medium,Pass,38.0,2,58.6,0,5.0,1,Pass,1,"PRIORITY: Offer additional support, weekly check-ins"
1,0.513971514252671,0.486028485747329,Medium,Pass,0.0,1,57.333333333333336,0,9.0,0,Fail,0,"PRIORITY: Offer additional support, weekly check-ins"
